Hráč,Cena
Siegenthaler J.,8,5
Butler C.,8,4
Cardwell E.,8,4
Couture L.,8,4
Crevier L.,8,4
Dickinson J.,8,4
Forbort D.,8,4
Grebyonkin N.,8,4
Moverare J.,8,4
Novak T.,8,4
Poulin S.,8,4
Vaakanainen U.,8,4
Winterton R.,8,4
Blümel M.,8,3
Bordeleau T.,8,3
Burakovsky A.,8,3
Eller L.,8,3
Gushchin D.,8,3
Haight H.,8,3
Hoglander N.,8,3
Honzek S.,8,3
Cholowski D.,8,3
Lammikko J.,8,3
Ohgren L.,8,3
Rempe M.,8,3
Turcotte A.,8,3
Berg C.,8,2
Carrick S.,8,2
Cootes B.,8,2
Drew H.,8,2
Hanley J.,8,2
Kerins R.,8,2
Mitton R.,8,2
O'Connor D.,8,2
Pickering O.,8,2
Poehling R.,8,2
Terry C.,8,2
Copp A.,8,1
Drury J.,8,1
Duclair A.,8,1
Iorio V.,8,1
Kapanen O.,8,1
Tufte R.,8,1
Dellandrea T.,8,0
Harkins J.,8,0
Kaiser W.,8,0
Lund C.,8,0
McGroarty R.,8,0
Rondbjerg J.,8,0
Belzile A.,7,9
Bryson J.,7,9
Farrell S.,7,9
Girgensons Z.,7,9
Glass C.,7,9
Holmstrom S.,7,9
Howe T.,7,9
Mooney J.,7,9
Othmann B.,7,9
Palát O.,7,9
Rohrer V.,7,9
Shabanov M.,7,9
Shea R.,7,9
Wang M.,7,9
Xhekaj F.,7,9
Agozzino A.,7,8
Bardakov Z.,7,8
Crookshank A.,7,8
Hallander F.,7,8
Jeník J.,7,8
Legare N.,7,8
Lucic M.,7,8
Zamula E.,7,8
Brown C.,7,7
Compher J.,7,7
Gaucher N.,7,7
Kiviranta J.,7,7
Lomberg R.,7,7
Raddysh T.,7,7
Sidorov Y.,7,7
Beck O.,7,6
Brodzinski J.,7,6
Desharnais V.,7,6
Dvorsky D.,7,6
Finley J.,7,6
Hamblin J.,7,6
James D.,7,6
Karlsson L.,7,6
Kindel B.,7,6
Koivunen V.,7,6
Mittelstadt C.,7,6
Poitras M.,7,6
Acciari N.,7,5
Blueger T.,7,5
Dadonov E.,7,5
Laba N.,7,5
McLaughlin M.,7,5
Ostapchuk Z.,7,5
Cates J.,7,4
Condotta L.,7,4
Gagnier R.,7,4
Goncalves G.,7,4
Hardman M.,7,4
Hayes G.,7,4
Israels H.,7,4
Misiak M.,7,4
Reaves R.,7,4
Robinson O.,7,4
Sheary C.,7,4
Tanev C.,7,4
Vlasic A.,7,4
MacEwen Z.,7,3
Merkulov G.,7,3
Erne A.,7,2
Gaudette A.,7,2
Lekkerimaki J.,7,2
Brindley G.,7,1
Gruden J.,7,1
Hameenaho L.,7,1
Lachance S.,7,1
Parent X.,7,1
Parssinen J.,7,1
Pitre C.,7,1
Ritchie C.,7,1
Kessel M.,7,0
Moore O.,6,9
Ostlund N.,6,9
Blackwell C.,6,8
Edstrom A.,6,8
Faksa R.,6,8
Halonen B.,6,8
Jarnkrok C.,6,8
Beecher J.,6,7
Holmberg P.,6,7
Kirkland J.,6,7
Mobley L.,6,7
Graf C.,6,6
Jankowski M.,6,6
MacEachern M.,6,6
Johnston R.,6,5
Kolyachonok V.,6,5
Lycksell O.,6,5
Highmore M.,6,4
Johnson J.,6,4
Lilleberg E.,6,4
Bourque M.,6,3
Steel S.,6,3
Lizotte B.,6,2
Reichel L.,6,2
Bastian N.,6,1
Glendening L.,6,1
Lundestrom I.,6,1
MacLean K.,6,1
Bradshaw S.,6,0
Giles P.,6,0
Hughes C.,6,0
Joki A.,6,0
Samuelsson W.,6,0
Bains A.,5,8
Goodrow B.,5,8
Khusnutdinov M.,5,8
Leddy N.,5,8
